Hello guys, welcome to the part ten of learning Kodava language completely. So let's start with the video.

Sunday **naaraache**
Monday **thingLaache**
Tuesday **chowaache**
Wednesday **padhnaache**
Thursday **beaLaache**
Friday **boLiyaache**
Saturday **cheniaache**

Today **indh**
Tomorrow **naaLe**
Yesterday **ninaandh**
Day after tomorrow **mathyaandh**
Day **dhina**
Month **thinga**
Week **waara**
Year **kaala**

One **ondh**
Two **dhand**
Three **muundh**
Four **naal**
Five **anjii**
Six **aar**
Seven **eeL**
Eight **ett**
Nine **woyimbadh**
Ten **pathth**
Fifty **aimbadh**
Hundred **nooru**
Thousand **aayira**
Lakh **laksha**
Crore **kooti**

Thank you for watching the video. Please do like and subscribe the channel for more videos.
